instruction,input,output,decision
Explain why this loan application was approved.,"Credit Score: 690
Debt-to-Income Ratio: 13.4%
Loan Amount: $29,297
Annual Income: $182,026
Employment Length: 13 years
Delinquencies (2 yrs): 0
Credit Inquiries (6 mo): 0","We are pleased to approve your $29,297 loan request. Your excellent credit score of 690 and stable income of $182,026 per year meet our lending criteria.",approved
Explain why this loan application was rejected.,"Credit Score: 575
Debt-to-Income Ratio: 8.1%
Loan Amount: $14,903
Annual Income: $40,529
Employment Length: 29 years
Delinquencies (2 yrs): 2
Credit Inquiries (6 mo): 2","Application declined. Adverse action reasons per FCRA Section 615: (1) Credit score 575 below acceptable range, (2) DTI ratio 8.1% exceeds policy limits, (3) Recent credit inquiries indicate financial stress.",rejected
Explain why this loan application was approved.,"Credit Score: 659
Debt-to-Income Ratio: 30.1%
Loan Amount: $44,110
Annual Income: $194,361
Employment Length: 11 years
Delinquencies (2 yrs): 1
Credit Inquiries (6 mo): 0","Your loan application is approved. Key factors include your 659 FICO score, low debt-to-income ratio of 30.1%, and 11 years of employment history.",approved
Explain why this loan application was rejected.,"Credit Score: 614
Debt-to-Income Ratio: 6.8%
Loan Amount: $16,280
Annual Income: $50,605
Employment Length: 26 years
Delinquencies (2 yrs): 0
Credit Inquiries (6 mo): 0",We regret to inform you that your loan application has been declined. Primary reasons include your credit score of 614 (below our 640 minimum) and debt-to-income ratio of 6.8% (exceeds our 43% threshold).,rejected
Explain why this loan application was approved.,"Credit Score: 690
Debt-to-Income Ratio: 13.5%
Loan Amount: $43,462
Annual Income: $67,851
Employment Length: 22 years
Delinquencies (2 yrs): 0
Credit Inquiries (6 mo): 2","Based on your 690 credit score and 13.5% debt-to-income ratio, your loan application has been approved. Your strong credit history demonstrates reliable repayment behavior.",approved
Explain why this loan application was approved.,"Credit Score: 665
Debt-to-Income Ratio: 14.1%
Loan Amount: $38,204
Annual Income: $107,192
Employment Length: 14 years
Delinquencies (2 yrs): 0
Credit Inquiries (6 mo): 2","We are pleased to approve your $38,204 loan request. Your excellent credit score of 665 and stable income of $107,192 per year meet our lending criteria.",approved
Explain why this loan application was approved.,"Credit Score: 760
Debt-to-Income Ratio: 39.0%
Loan Amount: $44,575
Annual Income: $87,865
Employment Length: 9 years
Delinquencies (2 yrs): 0
Credit Inquiries (6 mo): 1","Your loan application is approved. Key factors include your 760 FICO score, low debt-to-income ratio of 39.0%, and 9 years of employment history.",approved
Explain why this loan application was approved.,"Credit Score: 788
Debt-to-Income Ratio: 9.1%
Loan Amount: $28,255
Annual Income: $147,374
Employment Length: 29 years
Delinquencies (2 yrs): 0
Credit Inquiries (6 mo): 0","Based on your 788 credit score and 9.1% debt-to-income ratio, your loan application has been approved. Your strong credit history demonstrates reliable repayment behavior.",approved
Explain why this loan application was approved.,"Credit Score: 645
Debt-to-Income Ratio: 8.9%
Loan Amount: $24,769
Annual Income: $76,553
Employment Length: 29 years
Delinquencies (2 yrs): 0
Credit Inquiries (6 mo): 0","We are pleased to approve your $24,769 loan request. Your excellent credit score of 645 and stable income of $76,553 per year meet our lending criteria.",approved
Explain why this loan application was rejected.,"Credit Score: 558
Debt-to-Income Ratio: 8.7%
Loan Amount: $30,122
Annual Income: $81,553
Employment Length: 4 years
Delinquencies (2 yrs): 1
Credit Inquiries (6 mo): 0","Your $30,122 loan request cannot be approved at this time. Key adverse factors: credit score 558 indicates elevated risk, and 1 recent delinquencies raise concerns about repayment ability.",rejected
